booking_rule_id,booking_type,message,phone_number,info_url,booking_url
IDFM:1,0,du lundi au vendredi de 9h à 18 h,09 70 80 96 63,,https://reservation-tad.idfmobilites.fr/search?departure_latitude={from_coord_lat}&departure_longitude={from_coord_lon}&destination_latitude={to_coord_lat}&destination_longitude={to_coord_lon}&requested_departure_time={departure_datetime}&territory=nangis
IDFM:2,0,du lundi au vendredi de 9h à 18 h,09 70 80 96 63,,https://reservation-tad.idfmobilites.fr/search?departure_latitude={from_coord_lat}&departure_longitude={from_coord_lon}&destination_latitude={to_coord_lat}&destination_longitude={to_coord_lon}&requested_departure_time={departure_datetime}&territory=ligne_39_02
IDFM:3,0,du lundi au vendredi de 9h à 18 h,09 70 80 96 63,,https://reservation-tad.idfmobilites.fr/search?departure_latitude={from_coord_lat}&departure_longitude={from_coord_lon}&destination_latitude={to_coord_lat}&destination_longitude={to_coord_lon}&requested_departure_time={departure_datetime}&territory=la_ferte
IDFM:4,0,du lundi au vendredi de 9h à 18 h,09 70 80 96 63,,https://reservation-tad.idfmobilites.fr/search?departure_latitude={from_coord_lat}&departure_longitude={from_coord_lon}&destination_latitude={to_coord_lat}&destination_longitude={to_coord_lon}&requested_departure_time={departure_datetime}&territory=ligne31_velizy
IDFM:5,0,du lundi au vendredi de 9h à 18 h,09 70 80 96 63,,https://reservation-tad.idfmobilites.fr/search?departure_latitude={from_coord_lat}&departure_longitude={from_coord_lon}&destination_latitude={to_coord_lat}&destination_longitude={to_coord_lon}&requested_departure_time={departure_datetime}&territory=coeur_essonne
IDFM:6,0,du lundi au vendredi de 9h à 18 h,09 70 80 96 63,,https://reservation-tad.idfmobilites.fr/search?departure_latitude={from_coord_lat}&departure_longitude={from_coord_lon}&destination_latitude={to_coord_lat}&destination_longitude={to_coord_lon}&requested_departure_time={departure_datetime}&territory=domont
IDFM:7,0,du lundi au vendredi de 9h à 18 h,09 70 80 96 63,,https://reservation-tad.idfmobilites.fr/search?departure_latitude={from_coord_lat}&departure_longitude={from_coord_lon}&destination_latitude={to_coord_lat}&destination_longitude={to_coord_lon}&requested_departure_time={departure_datetime}&territory=courtaboeuf
IDFM:8,0,du lundi au vendredi de 9h à 18 h,09 70 80 96 63,,https://reservation-tad.idfmobilites.fr/search?departure_latitude={from_coord_lat}&departure_longitude={from_coord_lon}&destination_latitude={to_coord_lat}&destination_longitude={to_coord_lon}&requested_departure_time={departure_datetime}&territory=portes_briardes
IDFM:9,0,du lundi au vendredi de 9h à 18 h,09 70 80 96 63,,https://reservation-tad.idfmobilites.fr/search?departure_latitude={from_coord_lat}&departure_longitude={from_coord_lon}&destination_latitude={to_coord_lat}&destination_longitude={to_coord_lon}&requested_departure_time={departure_datetime}&territory=montesson
IDFM:10,0,du lundi au vendredi de 9h à 18 h,09 70 80 96 63,,https://reservation-tad.idfmobilites.fr/search?departure_latitude={from_coord_lat}&departure_longitude={from_coord_lon}&destination_latitude={to_coord_lat}&destination_longitude={to_coord_lon}&requested_departure_time={departure_datetime}&territory=essonne_sud_est
IDFM:11,0,"Bus de soirée : Le service fonctionne sans réservation, il suffit d'indiquer l'arrêt de descente au conducteur",,,
IDFM:12,0,24h/24 et 7j/7,01 74 37 24 77,https://www.fileo.com/se-deplacer/reserver-votre-fileo/,
