service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
IDFM:1,1,1,1,1,1,0,0,20250602,20250701
IDFM:10,0,0,0,0,0,1,0,20250607,20250628
IDFM:11,0,0,1,0,0,0,0,20250604,20250625
IDFM:104,0,0,0,0,0,0,1,20250608,20250629
IDFM:1000,1,1,1,1,1,1,1,20250602,20250701
IDFM:2043,0,1,0,1,0,0,0,20250603,20250701
IDFM:5550,0,1,1,1,1,1,1,20250603,20250701
IDFM:10070,1,1,1,1,1,1,0,20250602,20250701
IDFM:10196,0,1,1,1,1,0,0,20250602,20250613
IDFM:10200,0,0,0,0,0,0,1,20250602,20250629
IDFM:10209,0,0,0,0,1,1,0,20250606,20250628
IDFM:10219,0,0,0,0,0,1,0,20250602,20250628
IDFM:10254,1,1,1,1,1,0,1,20250602,20250701
IDFM:10321,0,0,0,0,0,1,1,20250602,20250629
IDFM:10388,1,1,0,0,0,1,0,20250607,20250701
IDFM:10397,0,0,0,0,0,1,1,20250607,20250629
IDFM:10519,1,1,0,0,0,0,1,20250608,20250701
IDFM:10838,1,1,0,0,0,1,1,20250607,20250701
IDFM:10991,0,0,0,0,0,0,1,20250608,20250615
IDFM:11148,0,0,0,0,0,0,1,20250622,20250629
IDFM:11966,1,1,1,1,1,1,1,20250602,20250701
IDFM:11972,0,0,0,0,0,1,1,20250607,20250629
IDFM:13173,0,1,0,0,0,0,0,20250610,20250610
IDFM:13176,1,0,0,0,0,0,0,20250602,20250630
IDFM:13427,0,1,1,1,1,1,0,20250603,20250701
IDFM:16494,0,0,1,0,0,1,0,20250604,20250628
IDFM:16764,0,0,0,0,0,0,1,20250608,20250629
IDFM:16823,0,0,0,0,0,1,1,20250607,20250629
IDFM:16992,1,0,0,0,0,0,1,20250609,20250615
IDFM:18093,0,0,0,0,0,1,0,20250607,20250628
IDFM:20774,0,0,0,0,0,1,0,20250607,20250614
IDFM:20798,0,0,0,0,0,0,1,20250608,20250615
IDFM:21252,1,1,1,1,1,0,0,20250616,20250630
IDFM:21350,0,0,0,0,0,1,0,20250621,20250628
IDFM:28842,0,1,1,1,1,0,0,20250603,20250613
IDFM:29054,1,0,0,0,0,0,0,20250616,20250630
IDFM:29068,0,1,1,1,1,0,0,20250617,20250627
IDFM:33143,0,0,0,0,0,1,0,20250602,20250628
IDFM:42234,0,1,0,1,1,0,0,20250603,20250627
IDFM:63682,1,1,1,1,1,1,1,20250602,20250630
IDFM:72582,1,1,1,0,1,0,0,20250602,20250630
IDFM:72599,1,1,0,0,1,0,0,20250602,20250630
IDFM:77509,0,0,0,0,0,0,1,20250609,20250629
IDFM:79207,1,1,0,1,0,1,0,20250602,20250630
IDFM:90196,1,1,1,1,1,0,0,20250602,20250630
IDFM:90445,1,1,0,1,1,0,0,20250602,20250630
IDFM:90509,0,0,1,0,0,0,0,20250604,20250625
IDFM:90761,1,1,0,1,1,0,0,20250616,20250620
IDFM:92688,1,1,1,1,0,0,0,20250602,20250630
IDFM:94963,0,0,0,0,1,0,0,20250602,20250613
IDFM:98273,0,0,0,0,0,1,0,20250607,20250630
IDFM:100000,0,0,0,0,0,0,1,20250608,20250629
IDFM:100001,0,0,0,0,0,0,1,20250609,20250629
IDFM:100126,1,1,1,1,0,0,0,20250602,20250701
IDFM:100212,0,0,0,0,1,0,0,20250606,20250627
IDFM:100438,0,0,0,0,0,0,1,20250608,20250608
IDFM:100529,1,1,1,1,1,0,0,20250602,20250630
IDFM:100531,1,1,1,1,1,1,0,20250602,20250630
IDFM:101005,0,1,0,0,0,0,0,20250701,20250701
IDFM:101590,0,0,0,0,0,0,1,20250608,20250622
IDFM:101594,0,0,0,0,0,0,1,20250615,20250629
IDFM:101755,0,0,0,0,0,1,0,20250614,20250628
IDFM:101933,1,1,1,1,1,0,0,20250616,20250701
IDFM:102036,1,1,1,1,0,0,0,20250602,20250630
IDFM:102699,1,1,1,1,1,0,0,20250602,20250630
IDFM:102701,0,1,1,1,0,0,0,20250610,20250612
IDFM:102880,0,0,0,0,1,0,0,20250602,20250630
IDFM:102898,0,0,0,0,0,1,0,20250614,20250628
IDFM:103434,0,0,0,0,0,1,0,20250607,20250607
IDFM:103583,1,1,1,1,0,0,0,20250616,20250626
IDFM:104736,1,1,1,1,0,0,1,20250602,20250630
IDFM:104981,1,0,1,1,0,0,0,20250602,20250626
IDFM:104982,1,1,1,1,1,0,0,20250602,20250627
IDFM:105047,1,0,0,0,0,0,0,20250609,20250609
IDFM:105148,1,1,1,1,0,0,0,20250602,20250626
IDFM:105196,0,1,0,0,1,0,0,20250603,20250627
IDFM:105202,0,1,0,0,0,0,0,20250603,20250624
IDFM:105610,1,0,1,1,1,0,0,20250602,20250627
IDFM:106097,1,0,0,0,0,0,0,20250630,20250630
IDFM:106098,1,1,0,0,0,0,0,20250630,20250701
IDFM:110077,0,0,0,0,0,0,1,20250608,20250622
IDFM:110148,0,0,0,0,0,0,1,20250609,20250622
IDFM:110456,0,0,0,0,1,1,0,20250606,20250628
IDFM:110583,0,0,0,0,0,0,1,20250629,20250629
IDFM:110608,1,1,1,1,0,0,1,20250602,20250629
IDFM:110858,0,0,0,0,0,0,1,20250608,20250629
IDFM:111007,1,1,0,1,0,0,0,20250602,20250701
IDFM:111083,1,1,0,1,1,0,0,20250602,20250701
IDFM:111508,0,0,1,0,1,0,0,20250604,20250627
IDFM:111835,1,0,1,1,0,0,0,20250602,20250630
IDFM:112910,1,1,1,1,1,0,0,20250602,20250630
IDFM:113110,0,0,0,0,1,0,0,20250613,20250627
IDFM:113238,1,1,1,1,0,0,0,20250602,20250630
IDFM:113340,0,0,0,0,1,0,0,20250606,20250606
IDFM:113630,0,0,0,0,0,0,1,20250608,20250629
IDFM:113651,0,0,0,0,0,0,1,20250622,20250622
IDFM:114021,0,0,0,0,0,0,1,20250608,20250701
IDFM:114293,0,0,0,0,0,1,0,20250606,20250628
IDFM:114413,0,0,0,0,0,0,1,20250615,20250629
IDFM:114967,1,1,1,1,1,0,1,20250602,20250630
IDFM:118542,0,0,0,0,0,1,0,20250607,20250628
IDFM:119248,0,0,0,0,0,0,1,20250608,20250629
IDFM:119407,0,0,0,0,0,1,0,20250607,20250628
IDFM:119734,0,0,0,0,0,0,1,20250615,20250615
IDFM:119737,0,0,0,0,0,1,0,20250614,20250614
IDFM:121390,0,0,0,0,0,0,1,20250608,20250630
IDFM:121392,1,1,1,1,1,1,1,20250602,20250629
IDFM:121394,1,1,1,1,1,1,0,20250602,20250628
IDFM:122212,1,1,0,1,1,0,0,20250602,20250627
IDFM:126296,1,1,0,1,1,0,0,20250602,20250630
IDFM:126444,1,1,1,1,1,1,1,20250602,20250630
IDFM:127555,0,0,0,0,0,1,0,20250607,20250701
IDFM:135204,1,1,1,1,1,0,0,20250602,20250627
IDFM:135386,0,0,0,0,0,1,0,20250607,20250628
IDFM:135449,0,0,0,0,1,0,0,20250606,20250627
IDFM:136241,1,1,1,1,1,0,0,20250602,20250630
IDFM:136591,0,0,0,1,0,0,0,20250619,20250619
IDFM:136596,1,1,1,1,1,0,0,20250602,20250701
IDFM:140863,1,1,0,0,0,0,0,20250602,20250603
IDFM:140909,1,1,1,1,1,0,0,20250604,20250630
IDFM:141080,1,1,1,1,0,0,0,20250604,20250630
IDFM:144859,1,1,0,1,0,0,0,20250602,20250630
IDFM:144924,0,0,1,0,1,0,0,20250604,20250627
IDFM:145194,1,1,0,1,1,0,0,20250602,20250630
IDFM:154031,0,0,0,0,1,0,0,20250606,20250701
IDFM:155584,0,0,0,0,1,0,0,20250606,20250627
IDFM:160085,0,1,1,1,1,0,0,20250603,20250627
IDFM:160090,1,0,0,0,0,0,0,20250602,20250630
IDFM:160541,0,0,0,0,0,1,1,20250607,20250608
IDFM:160657,1,1,1,1,1,1,1,20250602,20250630
IDFM:160690,0,0,0,0,0,1,1,20250609,20250629
IDFM:169897,1,1,0,1,1,1,0,20250602,20250701
IDFM:170636,0,0,1,1,1,1,1,20250604,20250629
IDFM:170642,0,0,1,1,1,1,0,20250604,20250628
IDFM:170744,0,0,0,0,0,0,1,20250607,20250629
IDFM:170878,1,1,1,1,1,1,0,20250602,20250630
IDFM:170963,0,0,0,0,0,1,1,20250607,20250701
IDFM:170964,0,0,0,0,0,1,1,20250608,20250701
IDFM:170966,0,0,0,0,0,0,1,20250607,20250701
IDFM:171013,1,1,1,1,1,0,1,20250602,20250701
IDFM:171023,1,1,1,1,1,1,1,20250602,20250701
IDFM:171033,0,0,0,0,0,1,0,20250614,20250701
IDFM:171040,1,1,1,1,1,1,0,20250602,20250701
IDFM:171847,1,1,1,1,1,1,0,20250602,20250701
IDFM:172760,0,0,0,0,0,1,0,20250621,20250621
IDFM:172765,0,0,0,0,0,1,1,20250607,20250629
IDFM:172789,1,1,1,1,1,0,1,20250602,20250629
IDFM:173083,1,1,1,1,1,1,0,20250602,20250628
IDFM:174680,0,0,0,0,1,1,0,20250606,20250628
IDFM:175606,1,1,1,1,0,0,1,20250602,20250701
IDFM:175607,1,1,1,1,1,1,1,20250602,20250701
IDFM:175635,1,1,1,1,0,1,1,20250602,20250701
IDFM:175651,0,0,0,0,0,0,1,20250608,20250701
IDFM:175670,1,1,1,1,1,1,0,20250602,20250701
IDFM:175767,0,0,0,0,1,0,0,20250606,20250701
IDFM:175808,0,0,0,0,0,1,0,20250607,20250701
IDFM:176546,0,0,0,0,0,1,1,20250607,20250629
IDFM:176552,0,0,0,0,0,1,1,20250607,20250629
IDFM:176577,0,0,0,0,0,0,1,20250609,20250629
IDFM:176588,0,0,0,0,1,0,1,20250606,20250629
IDFM:176659,1,1,1,1,0,1,0,20250602,20250628
IDFM:176662,1,1,1,1,0,1,0,20250602,20250628
IDFM:177796,1,1,1,1,1,0,0,20250602,20250627
IDFM:177797,1,1,1,1,0,0,0,20250602,20250626
IDFM:178100,0,0,0,0,1,0,0,20250606,20250627
IDFM:178566,1,1,1,1,1,0,1,20250602,20250629
IDFM:178684,1,1,1,1,0,1,1,20250602,20250629
IDFM:178769,1,1,1,1,1,1,1,20250602,20250629
IDFM:178885,0,0,0,0,0,0,1,20250609,20250701
IDFM:178906,0,0,0,0,0,1,0,20250607,20250701
IDFM:179549,1,1,1,1,1,0,0,20250602,20250627
IDFM:179587,0,0,0,0,1,0,0,20250606,20250627
IDFM:179771,0,0,0,0,0,1,0,20250607,20250628
IDFM:179784,0,0,0,0,0,1,0,20250607,20250628
IDFM:180701,0,0,0,0,0,1,1,20250607,20250629
IDFM:180707,1,1,1,1,1,0,1,20250602,20250629
IDFM:181284,1,0,0,0,0,0,0,20250609,20250701
IDFM:181552,0,0,0,0,1,0,0,20250606,20250701
IDFM:181853,0,0,0,0,1,0,0,20250606,20250701
IDFM:181947,0,0,0,0,0,0,1,20250608,20250701
IDFM:181954,1,1,1,1,0,0,1,20250602,20250629
IDFM:181965,0,0,0,0,0,0,1,20250615,20250701
IDFM:181974,0,0,0,0,1,0,1,20250606,20250701
IDFM:182013,0,0,0,0,1,0,1,20250606,20250629
IDFM:182307,1,1,1,1,0,0,1,20250602,20250629
IDFM:183294,0,0,0,0,1,0,1,20250606,20250629
IDFM:185482,1,1,1,1,0,0,1,20250602,20250701
IDFM:185533,1,1,1,1,1,0,1,20250602,20250701
IDFM:185747,1,1,1,1,1,1,0,20250602,20250701
IDFM:187204,1,1,1,1,0,1,1,20250602,20250701
IDFM:187362,1,1,1,1,0,1,0,20250602,20250701
IDFM:187390,0,0,0,0,0,0,1,20250607,20250629
IDFM:187511,1,1,1,1,1,0,1,20250602,20250701
IDFM:187556,1,1,1,1,1,0,0,20250602,20250701
IDFM:187558,1,1,1,1,0,0,0,20250602,20250701
IDFM:187570,1,1,1,1,0,0,0,20250602,20250701
IDFM:187577,1,1,1,1,0,0,0,20250616,20250701
IDFM:187687,1,1,1,1,1,1,0,20250602,20250701
IDFM:187854,0,1,1,1,1,0,0,20250602,20250614
IDFM:187864,0,0,0,0,1,0,0,20250602,20250627
IDFM:187981,0,0,0,0,0,1,0,20250607,20250628
IDFM:187990,0,0,0,0,1,0,0,20250606,20250628
IDFM:188071,0,0,0,0,1,1,0,20250607,20250628
IDFM:188208,0,0,0,0,1,0,0,20250620,20250627
