service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
IDFM:1,1,1,1,1,1,0,0,20250303,20250318
IDFM:10,1,1,0,1,1,0,0,20250303,20250318
IDFM:1000,1,1,1,1,1,1,1,20250217,20250318
IDFM:2586,0,1,0,1,0,0,0,20250304,20250318
IDFM:4079,1,0,0,0,0,0,1,20250217,20250317
IDFM:10000,1,1,1,1,1,1,0,20250217,20250318
IDFM:10076,0,0,1,0,0,0,0,20250305,20250312
IDFM:10085,0,0,1,0,0,1,0,20250305,20250315
IDFM:10108,1,1,1,1,1,0,0,20250217,20250318
IDFM:10123,0,0,0,0,0,1,0,20250222,20250315
IDFM:11224,1,1,1,1,1,0,1,20250217,20250318
IDFM:11250,0,0,0,0,1,1,0,20250221,20250315
IDFM:13777,0,0,1,0,1,0,0,20250219,20250314
IDFM:13781,1,1,0,1,0,0,0,20250217,20250318
IDFM:14128,1,0,0,0,0,0,0,20250217,20250317
IDFM:14270,0,1,1,1,1,1,0,20250218,20250318
IDFM:14676,1,1,0,1,1,0,0,20250217,20250318
IDFM:14688,0,0,1,0,0,0,0,20250219,20250312
IDFM:39762,0,1,1,1,1,0,0,20250217,20250318
IDFM:41087,0,0,0,0,0,0,1,20250302,20250316
IDFM:43764,0,1,0,1,1,0,0,20250218,20250228
IDFM:43765,0,1,0,1,1,0,0,20250218,20250318
IDFM:44022,1,0,1,0,0,0,0,20250217,20250317
IDFM:44122,0,1,0,1,1,0,0,20250304,20250318
IDFM:44215,1,0,1,0,0,0,0,20250217,20250226
IDFM:53750,1,1,1,1,1,0,0,20250217,20250309
IDFM:63779,1,1,0,1,0,0,0,20250217,20250227
IDFM:73661,1,0,1,1,1,0,0,20250217,20250228
IDFM:76762,0,0,1,1,0,0,0,20250305,20250313
IDFM:84085,1,1,0,1,0,1,0,20250303,20250318
IDFM:88693,0,0,1,0,0,1,0,20250219,20250301
IDFM:88970,0,0,0,0,1,0,0,20250221,20250314
IDFM:98315,0,0,0,0,1,0,0,20250221,20250309
IDFM:99064,0,0,0,0,1,0,0,20250307,20250314
IDFM:99466,1,1,1,1,0,0,0,20250303,20250318
IDFM:100000,0,0,0,0,0,0,1,20250223,20250316
IDFM:100059,0,0,0,0,0,0,1,20250223,20250316
IDFM:100074,1,1,1,1,1,1,0,20250303,20250318
IDFM:100089,0,0,0,0,0,1,0,20250308,20250315
IDFM:100231,0,0,0,0,0,0,1,20250223,20250316
IDFM:100232,0,0,0,0,1,0,0,20250307,20250314
IDFM:100513,1,1,0,0,0,0,1,20250223,20250318
IDFM:100514,1,1,1,1,0,0,0,20250303,20250318
IDFM:100546,0,0,0,0,0,1,0,20250222,20250301
IDFM:100547,1,1,1,1,1,0,0,20250217,20250228
IDFM:100588,0,0,0,0,1,0,0,20250221,20250228
IDFM:100620,1,1,1,1,0,0,0,20250217,20250227
IDFM:101322,0,1,1,1,0,0,0,20250304,20250318
IDFM:101350,1,0,0,0,0,0,0,20250303,20250317
IDFM:102198,1,0,0,0,1,0,0,20250303,20250317
IDFM:102250,0,1,1,1,1,0,0,20250304,20250318
IDFM:102703,1,1,1,1,0,0,0,20250217,20250318
IDFM:102720,0,0,0,0,0,1,1,20250222,20250316
IDFM:103005,0,0,0,0,1,0,0,20250221,20250314
IDFM:103837,0,0,0,0,0,0,1,20250223,20250302
IDFM:103842,0,0,0,0,0,0,1,20250309,20250316
IDFM:103865,0,0,0,0,0,1,0,20250221,20250315
IDFM:104329,1,1,1,1,0,0,1,20250217,20250318
IDFM:104630,0,0,0,0,0,1,0,20250222,20250315
IDFM:105829,1,1,0,0,0,1,0,20250222,20250318
IDFM:105830,0,0,0,0,0,1,0,20250217,20250315
IDFM:105831,1,1,0,1,0,0,0,20250303,20250318
IDFM:105889,1,1,0,1,0,0,0,20250217,20250318
IDFM:106164,1,1,0,1,0,0,0,20250217,20250318
IDFM:106396,0,0,1,0,1,0,0,20250305,20250314
IDFM:106533,0,0,0,0,1,0,0,20250221,20250314
IDFM:106622,0,0,0,0,0,1,0,20250222,20250315
IDFM:106752,1,1,0,0,0,1,0,20250222,20250318
IDFM:107308,1,1,1,1,1,0,1,20250217,20250302
IDFM:107316,1,1,1,1,0,0,1,20250217,20250302
IDFM:107319,0,0,0,0,0,0,1,20250217,20250316
IDFM:108410,1,1,1,1,0,0,0,20250217,20250318
IDFM:109589,0,0,0,0,0,0,1,20250217,20250316
IDFM:110195,1,1,0,0,0,0,0,20250303,20250304
IDFM:111033,1,1,1,1,0,0,0,20250305,20250318
IDFM:111042,1,1,1,1,1,0,0,20250305,20250318
IDFM:114096,1,1,1,1,0,0,1,20250303,20250318
IDFM:114098,1,0,1,1,0,0,0,20250303,20250317
IDFM:114101,0,1,0,0,0,0,0,20250304,20250318
IDFM:114182,1,0,1,1,0,0,0,20250217,20250317
IDFM:114208,1,1,1,1,0,0,0,20250217,20250318
IDFM:114232,0,1,0,0,0,0,0,20250218,20250318
IDFM:114234,1,0,1,1,0,0,0,20250217,20250317
IDFM:114279,1,0,0,0,0,0,0,20250218,20250317
IDFM:114284,0,1,0,0,0,0,0,20250217,20250318
IDFM:114286,0,1,0,0,1,0,0,20250218,20250228
IDFM:114288,1,0,1,1,0,0,0,20250217,20250227
IDFM:114624,0,1,0,0,1,0,0,20250304,20250318
IDFM:114653,0,1,0,0,1,0,0,20250218,20250318
IDFM:114977,1,1,1,1,0,0,0,20250217,20250318
IDFM:115198,0,0,0,0,1,0,0,20250217,20250314
IDFM:115239,0,1,0,0,1,0,0,20250217,20250318
IDFM:115242,1,0,1,1,1,0,0,20250217,20250317
IDFM:115244,0,1,0,0,0,0,0,20250217,20250318
IDFM:115255,1,1,0,0,1,0,0,20250218,20250318
IDFM:115286,0,0,0,0,1,0,0,20250218,20250314
IDFM:115494,0,0,0,0,0,0,1,20250222,20250316
