service_id,date,exception_type
IDFM:39762,20250217,1
IDFM:39762,20250224,1
IDFM:41087,20250309,2
IDFM:53750,20250309,1
IDFM:53750,20250307,2
IDFM:53750,20250306,2
IDFM:53750,20250305,2
IDFM:53750,20250304,2
IDFM:53750,20250303,2
IDFM:88970,20250222,1
IDFM:88970,20250301,1
IDFM:98315,20250309,1
IDFM:98315,20250307,2
IDFM:99064,20250309,1
IDFM:99466,20250308,1
IDFM:100059,20250308,1
IDFM:100059,20250315,1
IDFM:100231,20250307,1
IDFM:100231,20250314,1
IDFM:100513,20250225,2
IDFM:100513,20250224,2
IDFM:100513,20250307,1
IDFM:100513,20250306,1
IDFM:100513,20250305,1
IDFM:100513,20250314,1
IDFM:100513,20250313,1
IDFM:100513,20250312,1
IDFM:103865,20250221,1
IDFM:103865,20250228,1
IDFM:104630,20250307,1
IDFM:104630,20250314,1
IDFM:105829,20250225,2
IDFM:105829,20250224,2
IDFM:105829,20250307,1
IDFM:105829,20250306,1
IDFM:105829,20250305,1
IDFM:105829,20250314,1
IDFM:105829,20250313,1
IDFM:105829,20250312,1
IDFM:105830,20250221,1
IDFM:105830,20250220,1
IDFM:105830,20250219,1
IDFM:105830,20250218,1
IDFM:105830,20250217,1
IDFM:105830,20250228,1
IDFM:105830,20250227,1
IDFM:105830,20250226,1
IDFM:105830,20250225,1
IDFM:105830,20250224,1
IDFM:105889,20250219,1
IDFM:105889,20250226,1
IDFM:106164,20250221,1
IDFM:106164,20250219,1
IDFM:106164,20250228,1
IDFM:106164,20250226,1
IDFM:106533,20250305,1
IDFM:106533,20250312,1
IDFM:106622,20250307,1
IDFM:106622,20250305,1
IDFM:106622,20250314,1
IDFM:106622,20250312,1
IDFM:106752,20250225,2
IDFM:106752,20250224,2
IDFM:106752,20250306,1
IDFM:106752,20250313,1
IDFM:107319,20250220,1
IDFM:107319,20250219,1
IDFM:107319,20250218,1
IDFM:107319,20250217,1
IDFM:107319,20250227,1
IDFM:107319,20250226,1
IDFM:107319,20250225,1
IDFM:107319,20250224,1
IDFM:108410,20250307,1
IDFM:108410,20250314,1
IDFM:109589,20250221,1
IDFM:109589,20250220,1
IDFM:109589,20250219,1
IDFM:109589,20250218,1
IDFM:109589,20250217,1
IDFM:109589,20250228,1
IDFM:109589,20250227,1
IDFM:109589,20250226,1
IDFM:109589,20250225,1
IDFM:109589,20250224,1
IDFM:114208,20250221,1
IDFM:114208,20250228,1
IDFM:114232,20250221,1
IDFM:114232,20250228,1
IDFM:114234,20250221,1
IDFM:114234,20250218,1
IDFM:114234,20250228,1
IDFM:114234,20250225,1
IDFM:114279,20250221,1
IDFM:114279,20250218,1
IDFM:114279,20250228,1
IDFM:114279,20250225,1
IDFM:114279,20250224,2
IDFM:114279,20250306,1
IDFM:114279,20250305,1
IDFM:114279,20250313,1
IDFM:114279,20250312,1
IDFM:114284,20250221,1
IDFM:114284,20250220,1
IDFM:114284,20250219,1
IDFM:114284,20250217,1
IDFM:114284,20250228,1
IDFM:114284,20250227,1
IDFM:114284,20250226,1
IDFM:114284,20250224,1
IDFM:114977,20250218,2
IDFM:114977,20250225,2
IDFM:114977,20250307,1
IDFM:114977,20250314,1
IDFM:115198,20250220,1
IDFM:115198,20250219,1
IDFM:115198,20250218,1
IDFM:115198,20250217,1
IDFM:115198,20250227,1
IDFM:115198,20250226,1
IDFM:115198,20250225,1
IDFM:115198,20250224,1
IDFM:115239,20250220,1
IDFM:115239,20250219,1
IDFM:115239,20250217,1
IDFM:115239,20250227,1
IDFM:115239,20250226,1
IDFM:115239,20250224,1
IDFM:115242,20250218,1
IDFM:115242,20250225,1
IDFM:115244,20250220,1
IDFM:115244,20250219,1
IDFM:115244,20250217,1
IDFM:115244,20250218,2
IDFM:115244,20250227,1
IDFM:115244,20250226,1
IDFM:115244,20250224,1
IDFM:115244,20250225,2
IDFM:115244,20250307,1
IDFM:115244,20250314,1
IDFM:115255,20250224,2
IDFM:115255,20250306,1
IDFM:115255,20250305,1
IDFM:115255,20250313,1
IDFM:115255,20250312,1
IDFM:115286,20250218,1
IDFM:115286,20250225,1
IDFM:115494,20250222,1
IDFM:115494,20250301,1
IDFM:119446,20250222,1
IDFM:119446,20250301,1
IDFM:119446,20250225,2
IDFM:119446,20250224,2
IDFM:119446,20250307,1
IDFM:119446,20250306,1
IDFM:119446,20250305,1
IDFM:119446,20250314,1
IDFM:119446,20250313,1
IDFM:119446,20250312,1
IDFM:119685,20250225,2
IDFM:119685,20250224,2
IDFM:119685,20250306,1
IDFM:119685,20250305,1
IDFM:119685,20250313,1
IDFM:119685,20250312,1
IDFM:124255,20250220,1
IDFM:124255,20250219,1
IDFM:124255,20250218,1
IDFM:124255,20250217,1
IDFM:124255,20250227,1
IDFM:124255,20250226,1
IDFM:124255,20250225,1
IDFM:124255,20250224,1
IDFM:128326,20250309,1
IDFM:128326,20250316,1
IDFM:131625,20250225,2
IDFM:131625,20250224,2
IDFM:131625,20250307,1
IDFM:131625,20250306,1
IDFM:131625,20250305,1
IDFM:131625,20250314,1
IDFM:131625,20250313,1
IDFM:131625,20250312,1
IDFM:132452,20250221,1
IDFM:132477,20250219,1
IDFM:132477,20250226,1
IDFM:132477,20250228,2
IDFM:132597,20250306,1
IDFM:132597,20250313,1
IDFM:132620,20250306,1
IDFM:132620,20250305,1
IDFM:132620,20250313,1
IDFM:132620,20250312,1
IDFM:132642,20250228,1
IDFM:133082,20250301,2
IDFM:134130,20250221,1
IDFM:134130,20250220,1
IDFM:134130,20250219,1
IDFM:134130,20250218,1
IDFM:134130,20250217,1
IDFM:134130,20250228,1
IDFM:134130,20250227,1
IDFM:134130,20250226,1
IDFM:134130,20250225,1
IDFM:134130,20250224,1
IDFM:138834,20250309,2
IDFM:138838,20250309,2
IDFM:147840,20250223,1
IDFM:151009,20250221,1
IDFM:151009,20250228,1
IDFM:151009,20250225,2
IDFM:151009,20250224,2
IDFM:151009,20250306,1
IDFM:151009,20250305,1
IDFM:151009,20250313,1
IDFM:151009,20250312,1
IDFM:151017,20250225,2
IDFM:151017,20250224,2
IDFM:151017,20250306,1
IDFM:151017,20250305,1
IDFM:151017,20250313,1
IDFM:151017,20250312,1
IDFM:168271,20250221,1
IDFM:168271,20250220,1
IDFM:168271,20250219,1
IDFM:168271,20250218,1
IDFM:168271,20250217,1
IDFM:168271,20250228,1
IDFM:168271,20250227,1
IDFM:168271,20250226,1
IDFM:168271,20250225,1
IDFM:168271,20250224,1
IDFM:168271,20250308,1
IDFM:168271,20250315,1
IDFM:173961,20250222,1
IDFM:173961,20250301,1
IDFM:175223,20250308,1
IDFM:175223,20250315,1
IDFM:176478,20250223,1
IDFM:176478,20250222,1
IDFM:176558,20250307,1
IDFM:176558,20250306,1
IDFM:176558,20250305,1
IDFM:176558,20250314,1
IDFM:176558,20250313,1
IDFM:176558,20250312,1
IDFM:182418,20250307,1
IDFM:182418,20250306,1
IDFM:182418,20250305,1
IDFM:182418,20250314,1
IDFM:182418,20250313,1
IDFM:182418,20250312,1
IDFM:186534,20250219,1
IDFM:186534,20250226,1
IDFM:187124,20250308,1
IDFM:187124,20250307,1
IDFM:187124,20250306,1
IDFM:187124,20250315,1
IDFM:187124,20250314,1
IDFM:187124,20250313,1
IDFM:187130,20250308,1
IDFM:187130,20250307,1
IDFM:187130,20250306,1
IDFM:187130,20250315,1
IDFM:187130,20250314,1
IDFM:187130,20250313,1
IDFM:187229,20250222,1
IDFM:187229,20250221,1
IDFM:187229,20250220,1
IDFM:187229,20250219,1
IDFM:187229,20250218,1
IDFM:187229,20250217,1
IDFM:187229,20250301,1
IDFM:187229,20250228,1
IDFM:187229,20250227,1
IDFM:187229,20250226,1
IDFM:187229,20250225,1
IDFM:187229,20250224,1
IDFM:187554,20250225,2
IDFM:187554,20250224,2
IDFM:187554,20250308,1
IDFM:187554,20250307,1
IDFM:187554,20250306,1
IDFM:187554,20250305,1
IDFM:187554,20250315,1
IDFM:187554,20250314,1
IDFM:187554,20250313,1
IDFM:187554,20250312,1
IDFM:187555,20250222,1
IDFM:187555,20250301,1
IDFM:189040,20250221,1
IDFM:189040,20250228,1
IDFM:191952,20250312,1
IDFM:191953,20250228,2
IDFM:191953,20250227,2
IDFM:191953,20250226,2
IDFM:191959,20250312,1
IDFM:191962,20250227,2
IDFM:191962,20250226,2
IDFM:191962,20250307,1
IDFM:191962,20250314,1
IDFM:191964,20250302,2
IDFM:191966,20250221,1
IDFM:191966,20250227,2
IDFM:191966,20250226,2
IDFM:191967,20250221,1
IDFM:191967,20250301,2
IDFM:191971,20250302,2
IDFM:191971,20250301,2
IDFM:191971,20250227,2
IDFM:191971,20250226,2
IDFM:191971,20250307,1
IDFM:191971,20250314,1
IDFM:191982,20250219,1
IDFM:191982,20250302,2
IDFM:191982,20250301,2
IDFM:191982,20250228,2
IDFM:191982,20250227,2
IDFM:191982,20250304,2
IDFM:191982,20250303,2
IDFM:191982,20250312,1
IDFM:191987,20250302,2
IDFM:191987,20250301,2
IDFM:192000,20250302,2
IDFM:192000,20250228,2
IDFM:192030,20250221,1
IDFM:192030,20250302,2
IDFM:192097,20250219,1
IDFM:192097,20250228,2
IDFM:192097,20250227,2
IDFM:192097,20250304,2
IDFM:192097,20250303,2
IDFM:192097,20250312,1
IDFM:192100,20250219,1
IDFM:192100,20250227,2
IDFM:192100,20250304,2
IDFM:192100,20250303,2
IDFM:192100,20250312,1
IDFM:192125,20250219,1
IDFM:192125,20250227,2
IDFM:192125,20250225,2
IDFM:192125,20250304,2
IDFM:192125,20250303,2
IDFM:192125,20250312,1
IDFM:192153,20250219,1
IDFM:192153,20250301,2
IDFM:192153,20250228,2
IDFM:192153,20250227,2
IDFM:192153,20250304,2
IDFM:192153,20250303,2
IDFM:192153,20250312,1
IDFM:192175,20250219,1
IDFM:192175,20250301,2
IDFM:192175,20250227,2
IDFM:192175,20250304,2
IDFM:192175,20250303,2
IDFM:192175,20250312,1
IDFM:192200,20250219,1
IDFM:192200,20250227,2
IDFM:192200,20250307,1
IDFM:192200,20250304,2
IDFM:192200,20250303,2
IDFM:192200,20250314,1
IDFM:192200,20250312,1
IDFM:192431,20250221,1
IDFM:192431,20250220,1
IDFM:192431,20250219,1
IDFM:192432,20250220,1
IDFM:192432,20250219,1
IDFM:192442,20250220,1
IDFM:192442,20250219,1
