person_id;person_trip_id;leg_index;access_stop_id;egress_stop_id;transit_line_id;transit_route_id;access_area_id;egress_area_id;transit_mode
9151373;0;1;IDFM:26910.link:587856;IDFM:26906.link:587864;IDFM:C02180;IDFM:RATP:175538-C02180-COU_RATP_5121720_3284289_1;IDFM:72477;IDFM:72472;bus
7896030;0;1;IDFM:477201.link:332340;IDFM:491493.link:642132;IDFM:C01176;IDFM:RATP:162294-C01176-COU_RATP_5109607_3184154_2;IDFM:73695;IDFM:72675;bus
7256705;0;1;IDFM:24502.link:248903;IDFM:487963.link:117775;IDFM:C01240;IDFM:RATP:144199-C01240-COU_RATP_5101626_3190214_1;IDFM:70882;IDFM:70832;bus
10823418;0;1;IDFM:37281.link:278508;IDFM:27153.link:552592;IDFM:C01203;IDFM:RATP:175589-C01203-COU_RATP_5121160_2533249_3;IDFM:70275;IDFM:70064;bus
1817697;0;1;IDFM:21961.link:pt_IDFM:21961;IDFM:463046.link:pt_IDFM:463046;IDFM:C01384;IDFM:RATP:174677-C01384-COU_RATP_14DILEDOYEN08_2024_1004881466_Pl1403Hr1402-2;IDFM:71324;IDFM:73626;subway
1142585;0;1;IDFM:412987.link:pt_IDFM:412987;IDFM:462441.link:pt_IDFM:462441;IDFM:C01679;IDFM:RATP:146338-C01679-COU_RATP_5097502_3173058_18;IDFM:72064;IDFM:71545;tram
163894;0;1;IDFM:monomodalStopPlace:46366.link:589350;IDFM:monomodalStopPlace:45301.link:444956;IDFM:C01727;IDFM:TN:SNCF:b087c230-59d3-4459-8348-124496da396d;IDFM:424396;IDFM:71572;rail
593951;0;1;IDFM:22082.link:pt_IDFM:22082;IDFM:22087.link:pt_IDFM:22087;IDFM:C01371;IDFM:RATP:174676-C01371-COU_RATP_01DIBYZANCE_2024_935444867_LaDe01LaDe05-1;IDFM:71318;IDFM:71264;subway
6185723;0;1;IDFM:monomodalStopPlace:43226.link:50871;IDFM:monomodalStopPlace:45067.link:174008;IDFM:C01728;IDFM:TN:SNCF:56d22d51-7aa2-4518-b119-56583b7fa487;IDFM:63044;IDFM:69568;rail
445202;0;1;IDFM:41439.link:517044;IDFM:41430.link:147503;IDFM:C01634;IDFM:BRIE_ET_2_MORIN:182562-C01634-19885942;IDFM:481111;IDFM:480550;bus
10823418;0;3;IDFM:monomodalStopPlace:43227.link:411158;IDFM:monomodalStopPlace:43072.link:66252;IDFM:C01727;IDFM:TN:SNCF:b04eb741-bf5c-4d23-a156-1b96a3fee560;IDFM:70064;IDFM:71135;rail
12350190;0;1;IDFM:monomodalStopPlace:43212.link:465618;IDFM:monomodalStopPlace:58566.link:155874;IDFM:C01739;IDFM:TN:SNCF:df47de69-6ba2-4651-b26b-db4b74563bf6;IDFM:65110;IDFM:71370;rail
10606625;0;1;IDFM:25901.link:595875;IDFM:39343.link:507852;IDFM:C01133;IDFM:RATP:172196-C01133-COU_RATP_5118430_3222359_1;IDFM:70306;IDFM:70522;bus
163894;0;3;IDFM:463112.link:pt_IDFM:463112;IDFM:21957.link:pt_IDFM:21957;IDFM:C01384;IDFM:RATP:174677-C01384-COU_RATP_14DILEDOYEN08_2024_525976775_Or1403Hr1401-2;IDFM:71572;IDFM:71607;subway
10229600;0;1;IDFM:27280.link:417799;IDFM:477630.link:309272;IDFM:C01204;IDFM:RATP:172337-C01204-COU_RATP_5119111_3245664_1;IDFM:69837;IDFM:69707;bus
7738374;0;1;IDFM:22111.link:pt_IDFM:22111;IDFM:463043.link:pt_IDFM:463043;IDFM:C01372;IDFM:RATP:180391-C01372-COU_RATP_02DICROCUS_2025_-1555303286_Daup01Daup04-1;IDFM:474152;IDFM:71347;subway
6159647;0;1;IDFM:14603.link:118121;IDFM:426040.link:195949;IDFM:C00610;IDFM:KRO6:183731-C00610-595-260;IDFM:65737;IDFM:66009;bus
